Country,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,# missing values,,Growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,CAN,23200000,33500000,1.08,8.35E+11,3.09E+12,82653.47,163136.43,2.81,3.15,48427.10574,63519.47848,11229.50,12535.16,12987.91,15554.17,17966.47,21082.49,23720.40,25553.53,27641.04,28446.65,33460.22,36451.29,37183.59,37704.36,37517.22,36208.90,1.59,-0.09,17.91,21.61,19.23,18.71,23.22,19.26,21.83,21.87,4.05,5.28,1.98,1.49,24.19,30.43,46.62,59.14,1.00,1.35, 29   ,1049999,1.01E+07,19096475,43.53,57.00,35.64,,5.28,,,1.86,711,0.435288705,1.90,0.00,16.89,1.82,1.63,5.3,0.00,0.00,3530,73.52,81.22,53.0,43.6,9.0,11.5,,28.8,21.1,11.5,528.0,77.73,54.09,68.41,699.93,31.62,32.562,39.94,7.20,0.68,0.71,1.78,2.04,1,-1.02,,26.70,29.90,48.70,30.40,,42.80,3.3,79.7,,,,61.06,9590309,,6,,0.773900173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,CPV,280259,501000,1.71,1.37E+09,7531501556,15089.12,35480.75,,,4324.994593,8842.19043,,,1052.97,835.84,1357.67,1398.08,1110.52,1484.92,1617.67,1909.40,2480.70,2882.91,3132.01,3504.14,3630.16,3780.82,2.93,,42.04,62.37,42.26,6.66,,12.01,,20.76,,8.11,,7.73,,65.40,,89.02,0.26,12.03,,-12500,90595.05,214222,32.33,42.76,,20.14,,9.16,834.3,16.76,,0,0.00,0.00,0.63,6.93,2.66,23.3,,5.65,2549,58.65,71.31,109.3,67.8,,,81.5,,,,,29.67,14.28,77.53,96.94,,50.4,56.14,4.46,,0.42,0.47,0.70,1,-0.82,,,,,,,,,,,,,16.00,,0.4864,33,,2.114465053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,CAF,2057734,4742000,2.46,3.22E+09,3303762144,3326.02,1485.58,1.24,1.71,2095.143519,1480.676237,,,1073.57,992.83,1029.31,984.50,898.85,843.06,741.32,655.26,634.36,547.27,557.63,614.95,633.44,647.60,-1.23,-0.86,6.05,9.35,7.82,-1.23,-4.99,2.68,17.13,4.46,,,,2.11,39.92,22.40,61.05,36.86,,,,5000,966921.9,2073996,46.99,43.74,22.91,14.55,37.75,55.51,,63.25,1861,0.004819474,0.00,0.00,0.06,5.95,4.70,112,100.00,18.28,1956,45.58,47.30,84.6,80.2,0.7,3.5,13.6,1.9,1.2,2.3,,0.51,0.27,3.80,2.97,,43.57,49.40,5.21,,0.83,-1.32,-0.82,5,2.03,,,,,,,,,,1,,,6.50,631688,0.0246,21,,2.643153967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,TCD,4144061,10300000,2.68,3.67E+09,19045784045,2108.25,4837.78,,,2211.607878,3070.822831,,,818.61,829.55,901.38,930.03,580.07,793.41,743.95,799.42,731.19,1293.91,1267.55,1217.12,1188.11,1277.00,0.93,,8.51,17.81,11.80,36.59,9.08,5.90,17.79,15.60,,,,6.75,25.85,70.10,40.25,112.20,,,,-75000,1742676,4283236,42.05,41.58,15.49,,38.29,,,65.67,10944,0,25.17,0.00,0.04,6.68,6.08,124,98.77,24.16,2040,46.35,48.93,87.7,94.4,,,24.1,,,,,1.68,0.12,23.97,1.59,,39.78,46.56,6.26,,0.86,-1.53,-1.39,,1.75,-1.70,,,,,,,,,1,,,15.31,1268417,0.0243,31,,-1.026265934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CHL,10300000,16600000,1.40,1.19E+11,4.95E+11,36112.07,,2.34,2.95,,,,3435.18,3780.41,3951.07,4550.38,3774.58,5102.59,4376.18,5636.62,8065.79,9449.44,11220.09,11646.16,12136.93,12584.65,11999.25,3.40,,13.49,23.89,20.43,24.98,14.99,26.81,15.67,13.36,0.61,-4.38,0.69,7.76,27.41,30.36,52.85,68.50,0.69,0.89, 40   ,30000,3300835,,,,38.41,42.06,6.63,3.30,2737.0,13.32,2223,9.868599308,0.13,0.00,4.31,3.16,1.93,7,0.00,0.00,2957,65.32,78.73,73.4,46.4,6.0,9.7,,25.5,11.6,9.6,434.0,33.98,21.07,96.94,141.15,46.00,52.06,57.02,4.14,0.59,0.19,1.25,1.37,1,-0.63,1.39,39.90,51.90,44.60,39.70,41.70,12.60,3.5,70.5,,,,-35.82,668869,0.1017,9,,0.911597152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,CHN,918000000,1320000000,1.07,1.19E+12,2.64E+13,2605.26,33984.47,1.89,2.76,1059.99628,12867.47207,,309.65,403.10,406.57,439.92,526.53,713.87,1102.01,1409.42,2352.30,3196.68,5188.64,5746.36,6444.56,7014.17,7634.28,7.86,4.08,31.34,42.94,34.10,49.85,30.19,52.08,7.52,13.04,,1.46,,1.57,4.57,22.33,9.16,49.07,0.00,, 45   ,-1731080,4.56E+08,783157007,49.67,59.33,45.72,46.30,32.40,10.35,315.0,60.81,6547,0.201270839,2.94,0.00,4.96,3.78,1.77,16.6,15.76,0.28,2974,64.48,73.31,78.2,39.4,3.1,7.5,78.2,6.2,4.0,6.9,587.5,28.84,23.56,56.10,40.88,32.00,41.53,47.81,5.73,,0.15,-0.35,-0.53,7,0.44,,69.10,16.10,27.50,2.40,89.50,52.30,4.1,65.7,,1,,36.59,9344594,0.7066,6,,2.385168546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,COL,24100000,43700000,1.75,1.62E+11,7.68E+11,24010.19,42312.76,2.01,2.65,12564.3068,17357.19837,2201.36,2480.93,2478.32,2636.69,3064.50,3526.24,4214.87,4157.37,4620.02,5271.98,5816.52,6662.10,7068.01,7523.62,7644.89,7529.01,2.23,-0.15,17.97,26.43,21.00,18.95,18.79,20.48,8.89,15.95,0.24,2.56,0.28,3.08,14.07,18.32,29.87,34.58,0.40,5.34, 33   ,-120000,6763796,18955694,28.07,43.38,29.83,34.39,24.39,7.47,1606.8,15.06,967,0.327837222,5.87,0.00,1.43,4.63,2.40,16.2,52.34,1.16,2662,62.76,73.21,89.3,53.0,3.9,7.3,94.6,9.4,8.5,7.3,391.5,45.53,16.43,92.33,41.48,46.00,58.49,62.10,2.52,0.65,0.60,-0.44,-0.29,3,1.67,0.66,48.20,59.20,20.10,47.70,,14.50,4.3,76.8,,,,3.88,1153540,0.1535,1,,6.186305683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,COM,272685,752000,2.98,1.10E+09,1822564212,9834.89,4922.12,,,3277.12977,2121.989075,,,757.21,1036.43,1234.04,1342.95,1402.37,1490.55,1302.21,1167.13,978.90,960.63,949.52,927.88,927.38,915.77,-1.13,,37.84,15.89,25.23,-17.50,,-21.10,,15.25,,,,1.70,,48.16,,62.83,,,,-10000,111745,324536,40.98,43.16,,12.11,,46.31,195.9,69.44,,0,0.00,1.03,0.19,7.05,3.89,74.8,,12.47,1857,49.99,65.76,0.0,70.1,,,,,,,,3.69,3.85,15.17,8.50,,64.34,68.13,2.56,,,-1.09,-0.75,3,1.01,,,,,,,,,,1,,,-12.17,,0.9908,38,,2.293631293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,COD,25000000,69000000,2.99,3.41E+10,41005181729,3527.23,1573.96,1.31,1.71,2493.339641,640.2147102,786.08,1089.92,1092.26,1004.09,1052.99,964.19,770.02,761.21,724.28,392.23,117.22,217.88,220.01,227.14,234.49,231.29,-4.20,-3.73,10.91,21.57,14.19,0.05,12.69,17.74,11.63,7.90,,,0.09,9.00,15.09,21.73,25.05,31.34,,, 50   ,-100000,9667647,24927235,38.67,36.13,37.22,24.04,17.73,42.91,63.0,57.25,9330,7.869322453,2.86,0.00,0.04,6.37,5.91,125.8,100.00,11.89,1585,45.02,47.77,91.3,97.3,0.9,3.5,36.7,1.2,0.7,2.1,,0.55,0.06,15.39,,,44.43,50.60,5.47,,0.87,-1.70,-1.42,6,2.13,,,,,,,,,,1,,,-2.92,329168,0.0675,17,,0.388772687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",COG,COG,1453650,4013000,2.99,4.54E+09,17934922014,7786.73,10324.92,1.62,2.11,3762.320713,5588.683291,,,791.10,894.38,1234.47,1508.36,1756.83,2454.30,2437.46,2182.64,2288.35,2188.81,2192.05,1913.36,1997.70,2220.28,1.14,0.37,19.98,21.80,19.17,51.39,11.25,45.54,18.00,12.25,,,,21.75,63.75,50.90,99.64,122.76,,, 50   ,-50000,582786.3,1594287,40.09,39.73,32.42,71.08,14.48,4.51,,31.98,8527,0.023193865,50.58,0.00,0.45,6.33,4.27,80.5,100.00,14.32,2513,57.27,53.71,93.4,79.5,1.5,5.9,,2.3,1.2,5.2,,6.66,0.66,58.94,4.38,,47.32,53.14,4.96,0.47,0.87,-1.19,-1.22,6,0.41,,,,,,,,,,1,,,-0.88,,0.0289,20,,-3.118389098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,CRI,1991580,4455000,2.37,1.96E+10,1.10E+11,30039.89,53139.99,2.11,2.78,22683.92246,23474.49067,3481.08,4617.20,5023.87,5605.65,6485.88,7423.94,8432.01,7178.14,7465.20,8180.06,8940.26,9950.03,10593.95,11214.13,11410.05,11217.14,1.21,-1.00,14.95,18.29,19.24,19.42,13.16,20.87,15.22,16.72,,3.60,,4.61,38.55,42.10,68.61,85.39,0.40,4.02, 15   ,30000,651799.9,2128794,32.73,47.78,,27.24,,7.08,2271.5,15.84,3121,0.065581759,0.00,0.14,1.82,3.97,1.94,9.6,0.00,0.04,2813,69.55,79.04,85.4,47.4,4.5,8.3,96.1,17.3,13.2,8.4,,34.48,32.60,42.59,218.67,50.00,50.31,55.36,4.18,0.73,0.24,0.56,0.70,1,-0.65,0.78,,,,,,,,,,,,10.01,50525,0.2440,13,,2.128389398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d`Ivoire,CIV,CIV,7030905,20600000,3.16,1.47E+10,26019286311,5680.81,3180.83,1.32,1.71,4194.238402,3305.757825,,,977.11,1166.66,1430.61,1542.60,1543.82,1615.28,1617.49,1441.82,1509.90,1328.36,1314.54,1299.90,1296.78,1342.95,-0.41,-0.63,16.57,6.82,9.41,22.11,22.59,19.20,16.99,8.57,1.74,1.42,1.77,1.63,36.58,33.75,73.31,75.47,0.17,32.54, 10   ,-144888,2585900,8368662,36.78,40.62,17.04,25.20,28.24,24.38,346.0,37.93,,0,3.13,0.00,0.32,7.92,4.51,83.1,100.00,23.33,2515,52.49,57.95,90.4,80.2,0.9,3.3,,2.0,1.3,2.3,,4.59,1.34,63.33,14.66,,41.5,47.60,5.60,0.68,0.82,-1.33,-1.16,6,1.53,-0.98,,,,,,,,,1,,,7.61,313566,0.1195,14,,1.652778332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,HRV,4255000,4489000,0.16,,1.92E+11,,95034.77,2.17,2.69,,33972.2441,,,,,,,,,10800.17,7920.04,9683.66,14111.35,14820.92,15622.93,15994.61,15088.13,,,,28.86,,22.55,,23.35,,19.72,,3.20,,4.68,,39.41,,75.50,,1.51, 45   ,10000,,1993704,,44.41,,27.14,,6.73,8583.1,4.35,,0,0.65,0.18,5.60,2.00,1.47,4.5,0.00,0.00,2987,70.00,76.14,48.2,47.8,6.3,9.0,89.9,7.6,4.9,8.6,473.0,50.40,41.95,136.17,189.52,,33.65,41.96,8.05,,0.37,0.22,0.03,1,-0.60,,28.60,21.30,44.20,19.10,57.70,21.90,3.3,60.7,,,,45.11,53733,,30,,0.651133679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,CUB,9290074,11100000,0.52,,55859397735,,11343.56,2.31,2.91,20227.56234,25722.22171,,,,,5536.74,6625.18,7478.72,10610.19,10210.17,7323.09,8348.14,9132.61,10212.98,10956.77,11136.87,11518.33,1.63,,5.51,3.13,3.72,13.82,14.40,,31.58,,,,,,44.19,,76.83,,,,,-194212,3042797,4970545,32.75,44.78,18.62,,13.32,,,12.92,,,,,2.41,2.84,1.51,4.4,0.00,0.21,3295,72.20,78.89,79.1,42.1,6.1,10.2,89.6,8.9,6.8,10.0,,14.33,10.42,3.95,33.45,,,,,,,-0.65,0.29,7,-0.03,,,,,,,,,,,,,21.70,100429,,41,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,CYP,610500,1085000,1.69,1.53E+10,52198856041,60409.91,93949.78,2.36,2.91,11451.44307,46170.92443,2585.22,3345.75,3335.81,4446.82,5997.58,4741.39,9151.73,11106.33,15172.29,15559.20,17225.10,18379.11,18760.74,19465.52,19856.69,18980.62,4.08,,27.51,19.35,27.15,10.67,1.32,,17.47,,,-58.40,,23.59,56.69,,92.18,,1.00,0.59, 30   ,25000,252773.1,446038,41.40,41.11,25.18,,15.72,,5177.8,5.34,,0,0.00,0.00,9.60,2.35,1.52,3.4,0.00,0.08,3199,72.53,79.77,55.7,44.5,5.9,9.8,,23.4,18.4,9.0,,49.81,47.59,112.23,336.58,,,,,,,1.16,1.00,1,-0.37,1.08,40.00,49.90,44.50,42.30,,9.90,,,,,,35.03,9181,0.6201,21,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,CZE,10000000,10200000,0.06,,6.05E+11,,119244.05,2.63,3.07,,42913.432,,,,,,,,,15360.89,14784.34,16302.01,19695.47,21038.41,22400.42,22973.88,21956.91,,,,21.00,,28.49,,27.25,,22.10,,3.90,,1.40,,63.80,,133.32,0.26,0.00, 15   ,225700,,5218890,,51.17,,37.22,,2.28,2954.9,6.20,11746,0,0.26,0.02,12.08,2.43,1.49,2.8,0.00,0.00,3317,70.41,77.08,54.3,40.9,9.9,12.3,,10.5,5.6,12.1,496.5,63.69,19.94,135.92,240.03,20.71,,,,,0.32,0.96,0.46,1,-0.92,,36.30,16.00,31.10,7.40,62.90,25.60,3.5,64.6,,,,49.78,80165,,31,,3.612076834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,DNK,5059861,5501000,0.25,2.11E+11,5.66E+11,84955.75,192455.57,2.63,2.88,38371.65739,63071.67227,9350.91,9940.03,12122.61,15146.41,17790.11,18852.68,21329.64,24537.26,26300.85,29072.03,33122.53,34703.75,35876.94,36339.44,35875.21,33908.88,1.73,0.49,17.92,21.83,20.51,22.60,20.20,20.86,24.78,29.90,0.48,2.84,0.67,0.94,31.89,43.96,62.09,91.73,1.00,, 62.28   ,30000,2486000,2957473,49.13,53.76,28.56,22.46,5.29,0.92,21233.7,2.55,,0,1.45,0.00,9.15,1.92,1.84,3.3,0.00,0.00,3397,74.08,78.60,56.2,52.7,8.6,10.3,,19.0,12.6,10.1,501.0,85.92,37.29,133.94,655.97,31.00,,,,0.71,0.08,1.87,2.42,1,-1.04,,9.60,14.40,32.00,8.20,58.70,66.50,,79.8,,,1,56.11,32408,,8,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,DJI,207959,819501,4.03,,5461444049,,14872.79,,,,4362.520862,,,,,5273.73,4927.07,3720.37,3903.94,3381.95,2407.60,1945.09,2198.20,2205.10,2166.17,1937.42,2061.43,-2.56,,9.61,37.46,23.66,-1.29,,,,,,9.23,,9.23,,,,,,,,0,,387241,,47.25,,,,,,,5973,0,0.00,0.31,0.58,6.99,3.79,75,100.00,15.13,3115,45.46,55.75,92.4,64.8,,,30.5,,,,,3.00,1.95,14.90,23.96,,39.85,46.52,6.02,,0.80,-0.65,-0.26,5,-0.48,,,,,,,,,,1,,,11.70,21508,,48,,2.121381151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,DMA,73923,72420,-0.06,,1363798079,,,,,,,,,,,1628.53,2085.21,2427.91,3091.93,4254.86,4464.83,5023.06,5028.85,5333.65,5584.48,5708.00,6577.93,3.38,,23.08,24.53,27.94,16.02,,2.30,,18.08,,14.10,,13.33,,65.54,,103.90,,,,,,,,,,23.18,,19.54,2813.0,20.90,3176,0,0.00,0.04,1.66,,,8.1,,,3115,,,,,,,105.5,,,,,38.05,23.78,144.03,181.89,,,,,,,0.69,0.77,1,-0.75,,,,,,,,,,,,,15.42,,,57,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,DOM,5048499,9691000,1.92,2.71E+10,1.64E+11,15466.80,37852.54,1.87,2.45,10729.9183,21331.25642,,1942.57,2354.83,2412.42,2925.78,3717.07,4258.02,4535.61,4713.03,5664.03,7308.78,7955.19,8725.01,9341.34,9780.04,9911.12,2.88,0.62,23.54,15.60,18.66,7.49,22.21,6.82,6.17,7.83,1.78,3.46,1.78,4.42,30.02,30.25,57.73,52.50,0.23,,,-140000,1748907,4502718,34.64,46.46,31.63,32.45,21.47,6.21,1617.0,11.17,13117,0.515899993,0.00,0.00,2.11,5.19,2.61,26.7,0.00,0.14,2263,60.80,72.71,93.6,59.9,3.4,6.9,76.8,17.5,4.6,6.9,,26.77,9.57,85.53,,45.00,48.44,53.60,4.42,,0.43,-0.72,-0.68,2,-0.12,,11.30,50.80,27.10,59.20,,26.40,3.9,68.3,,,,18.95,45357,0.6678,8,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,ECU,6871698,14600000,2.22,9.46E+10,2.73E+11,41847.35,43517.49,2.05,2.59,14245.00083,15396.44562,,2616.07,2806.84,2910.15,3156.96,4686.21,5645.33,5071.06,4705.60,5108.24,4776.88,5767.07,5890.37,5973.84,6305.53,6171.29,0.81,-0.27,43.19,27.26,29.88,20.99,13.96,21.26,17.36,9.65,,-4.93,,0.55,32.16,48.09,58.12,85.23,0.77,, 35   ,-350000,2260597,5852050,32.90,40.08,,23.17,,6.24,895.1,19.82,3249,0.030821998,9.83,0.00,2.25,5.72,2.51,20.4,39.19,0.25,2304,60.07,75.28,91.8,60.2,4.3,7.6,81.1,17.1,10.5,7.4,,15.06,14.71,100.07,38.86,,48.98,53.91,4.19,0.45,0.65,-1.28,-0.92,3,0.75,0.54,,,,,,,,,,,,-1.46,248706,0.1594,16,,2.97647477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,EGY,37000000,78900000,2.23,9.18E+10,6.14E+11,8346.36,23540.66,1.34,2.36,4281.646727,14261.11281,899.72,889.40,1036.31,1247.71,1334.05,1272.92,1773.74,2390.71,2647.40,3402.78,3827.90,4280.68,4474.57,4685.25,4816.94,4955.67,4.00,1.41,38.09,17.88,20.89,17.59,12.27,12.43,24.88,11.39,,2.98,,3.56,41.28,31.87,61.46,56.91,0.14,4.88,,-340000,1.10E+07,27417364,29.73,34.75,26.90,37.32,29.03,13.68,880.0,27.93,912,0.112263355,7.01,0.14,2.30,5.65,2.82,18.2,0.00,1.77,3163,53.26,70.34,84.1,58.4,1.3,6.4,,9.4,6.1,5.3,,20.04,12.42,66.69,37.82,38.00,32.14,41.46,8.96,0.77,0.18,-0.03,-0.41,6,0.63,0.73,27.30,67.70,22.10,89.90,,18.50,3.6,68.7,1,,,26.41,1000480,0.2604,6,,1.620847729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,SLV,4071179,6031000,1.16,2.42E+10,67758637350,17901.86,27692.86,1.69,2.42,14151.53148,15288.43018,2886.70,3271.07,3397.20,3931.46,4148.94,4706.71,4417.83,4027.08,4020.24,5077.11,5428.07,5989.35,6238.56,6499.02,6654.65,6338.36,0.88,-0.90,14.38,12.09,14.19,-2.02,16.95,-2.38,11.19,10.46,,6.37,,2.04,38.22,37.75,71.26,60.01,0.31,4.94,,-279710,1354049,2500364,33.26,41.46,,27.47,,12.48,1081.7,26.06,,0,0.00,0.46,1.10,5.72,2.30,14.6,0.00,1.13,2585,57.27,71.46,96.2,65.2,2.6,7.5,,11.5,8.5,7.1,,14.42,17.83,122.77,50.87,48.40,46.93,51.86,4.34,0.58,0.20,-0.78,-0.17,-0.0100234,-0.03,0.71,29.80,62.40,14.00,67.00,43.20,14.60,4.4,82.3,,,,13.78,20886,1.2326,8,,3.245141605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,GNQ,213292,633000,3.20,1.92E+08,22080329853,2506.38,90200.05,,,3186.092838,53324.92528,,,567.66,593.32,646.19,1145.49,745.32,717.70,627.29,751.48,5831.65,15421.75,15313.26,18075.45,21606.55,22031.48,8.70,,3.53,30.72,20.66,86.07,7.15,72.24,27.26,3.42,,,,15.71,50.81,41.56,93.79,115.63,,,,10000,76684.34,261527,35.95,41.32,,91.89,,3.46,387.3,64.79,,0,66.03,0.00,7.46,5.67,5.28,88.1,100.00,13.94,,41.23,50.61,100.8,78.2,,,,,,,,2.13,1.48,65.80,14.22,,,,,,,-1.27,-1.58,7,0.02,,,,,,,,,,1,,,1.64,24630,,37,,1.280927617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,ERI,2421037,5647000,2.49,,7055763129,,2943.08,,,,1553.313904,,,,,,,,,,763.17,819.54,715.31,669.69,667.91,597.34,592.45,,,,2.58,,-14.88,,,,,,,,0.00,,20.26,,24.75,,,,55000,,2153834,,38.14,,22.24,,14.40,,73.76,6283,0,0.00,0.75,0.12,6.50,4.53,39.1,76.45,5.39,1587,44.54,59.85,91.9,78.5,,,31.8,,,,,4.93,0.96,2.78,7.95,,,,,,0.65,-1.24,-0.33,7,0.80,,,,,,,,,,1,,,15.26,128503,,55,,7.752592494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,EST,1432246,1299000,-0.29,,66168290703,,98078.05,2.67,3.22,,30349.92665,,,,,,,,,9723.51,7666.01,10437.08,16143.95,18008.01,19052.56,18271.73,16264.25,,,,18.92,,25.75,,24.74,,22.17,,-9.94,,9.18,,65.23,,135.83,,, 21   ,0,,696122,,53.59,,,,,1655.9,8.89,796,0,0.68,0.00,15.25,2.08,1.62,4.4,0.00,0.00,3129,69.61,74.82,51.5,47.3,8.0,12.0,,27.7,18.0,12.2,520.0,72.35,36.76,202.97,482.88,,36,43.01,6.82,,0.51,1.13,1.00,1,-0.59,,37.40,27.80,49.30,5.50,45.40,22.20,3.5,55.7,,,,58.63,38745,,33,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,ETH,33000000,85200000,2.79,3.20E+10,97933005197,2149.66,2382.91,,,996.9842617,1457.819261,279.09,354.69,388.04,430.61,460.66,450.15,453.54,407.18,413.53,383.39,459.66,509.95,550.63,593.23,642.73,683.61,1.23,,17.37,23.12,19.08,-5.82,,4.13,,8.21,,0.78,,0.78,,28.85,,39.40,0.11,, 35   ,-300000,1.49E+07,39952287,45.15,46.89,,10.73,,50.68,104.6,77.34,2208,0.130585896,0.00,4.35,0.08,6.77,5.21,67.1,58.06,2.18,1952,44.19,55.66,89.8,87.6,,,34.4,,,,,0.54,1.10,4.89,3.22,,29.76,39.36,9.28,,0.72,-0.77,-0.71,5,1.73,,52.50,38.90,30.50,41.30,,24.40,,,1,,,8.56,1135775,0.2197,24,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,FJI,576000,868000,1.21,4.23E+09,10607036559,23356.01,30320.47,2.10,3.04,9687.749754,10865.10043,,,1977.48,1960.50,2488.27,3045.37,3592.86,3349.73,3711.28,3950.28,4177.89,4513.79,4556.23,4468.83,4431.72,4284.22,1.00,-0.65,27.86,17.75,23.53,-4.41,19.99,,12.00,,,1.84,,1.98,43.63,61.73,86.63,108.82,,,,-35000,181066.9,342261,31.44,39.43,22.31,17.94,25.61,13.23,804.0,35.95,11445,0,0.00,0.00,1.74,4.05,2.69,15.4,,0.00,3033,61.80,69.04,74.0,56.6,5.1,11.0,,12.4,8.0,10.9,,13.45,16.11,75.36,52.33,42.50,,,,,0.55,-0.76,-0.74,6,0.22,,,,,,,,,,,,,-18.00,,0.2157,25,,1.162345183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,FIN,4711439,5250000,0.32,2.24E+11,4.92E+11,97361.72,184729.52,2.58,2.95,34004.26363,62325.69283,6181.57,7852.77,9080.45,11248.37,13909.50,16612.44,19027.55,21252.27,24425.03,22575.75,28263.29,31760.53,33089.56,34898.18,35130.92,32161.50,1.94,0.89,32.51,20.24,23.51,22.79,28.77,20.78,17.52,25.10,0.95,-1.97,0.23,0.03,28.55,34.91,50.96,72.28,1.00,, 30.5   ,55001,2301726,2709122,48.85,51.60,39.23,28.18,10.83,2.66,18465.0,3.87,6335,0.063057817,0.00,0.00,12.12,1.69,1.86,2.5,0.00,0.00,3215,71.67,79.72,48.4,50.3,7.5,10.3,,27.4,13.1,10.3,547.5,83.94,26.79,144.24,481.05,30.45,26.88,36.70,9.62,0.71,0.13,1.94,2.22,1,-1.36,,26.20,32.80,64.50,12.00,33.00,58.90,3.2,71.3,,,1,64.43,333518,,3,,1.59029687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,FRA,54000000,64400000,0.52,2.18E+12,5.21E+12,95482.46,176781.96,2.32,2.99,43112.15526,69245.95262,7110.73,8305.91,10101.31,12554.48,15676.11,18202.91,21097.67,22148.51,25442.60,26141.72,29272.09,30974.47,31380.76,32019.17,31981.65,30821.67,1.55,0.29,20.71,18.97,19.57,16.07,23.85,17.02,19.76,24.63,0.37,10.79,0.44,2.26,18.00,24.99,36.62,48.04,1.00,-0.01, 40   ,500000,2.28E+07,28664716,42.22,44.51,33.28,18.84,6.15,1.74,25007.5,2.02,28586,0.000527926,0.01,0.00,6.00,1.93,2.00,3.2,0.00,0.01,3553,72.85,81.07,59.9,54.2,5.5,10.4,,21.3,10.6,10.2,497.5,71.27,56.69,95.09,574.97,43.00,,,,0.74,0.10,1.43,1.41,1,-0.55,,42.90,41.20,55.00,8.70,,18.80,,73.8,,,1,46.53,550788,,7,,2.614504086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
